id,composer,song_id,link,song_copyright
9,Albeniz,-| Barcarolle Catalane Op. 23 (1884),https://kunstderfuge.com/-/mid.files/albeniz/barcarolle_%28c%29yogore.mid, Segundo G. Yogore
2616,Godowsky,"Java Suite (1924, 25) -| 5. Boro Budur (in Moonlight)",https://kunstderfuge.com/-/mid.files/30/godowsky_java_suite_05_boro_budur_%28c%29yogore.mid, Segundo G. Yogore
4437,Mozart,"Piano Sonata No. 9 in a minor, KV 310 (E 300d) (1778)-| 1. Allegro maestoso",https://kunstderfuge.com/-/mid.files/mozart/piano_sonata_310_1_%28c%29oguri.mid, Katsuhiro Oguri
3,Albeniz,"Iberia, quadern/book 2 (1907)-| 1. Rondena",https://kunstderfuge.com/-/mid.files/albeniz/iberia_bk2_1_rondena_%28c%29yogore.mid, Segundo G. Yogore
1,Albeniz,"Iberia, quadern/book 1 (1907)-| 2. El Puerto",https://kunstderfuge.com/-/mid.files/albeniz/iberia_bk1_2_el_puerto_%28c%29yogore.mid, Segundo G. Yogore
